SecurityId,AssetName,ExchangeType,SchemaName
PRAGBOS,PRAG BOSIMI SYNTHETICS LTD.,BSE,ExchangeList
HLVLTD,HLV Ltd,BSE,ExchangeList
IGPL,I G PETROCHEMICALS LTD.,BSE,ExchangeList
INDIAGLYCO,INDIA GLYCOLS LTD.,BSE,ExchangeList
INDLEASE,INDIA LEASE DEVELOPMENT LTD.,BSE,ExchangeList
MARGOFIN,Margo Finance Limited,BSE,ExchangeList
INDORAMA,INDO RAMA SYNTHETICS (INDIA) LTD.,BSE,ExchangeList
INFY,INFOSYS LTD.,BSE,ExchangeList
INGERRAND,INGERSOLL-RAND (INDIA) LTD.,BSE,ExchangeList
ITHL,INTERNATIONAL TRAVEL HOUSE LTD.-$,BSE,ExchangeList
IONEXCHANG,ION EXCHANGE (INDIA) LTD.-$,BSE,ExchangeList
ATFL,AGRO TECH FOODS LTD.,BSE,ExchangeList
JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD.,BSE,ExchangeList
JASCH,JASCH INDUSTRIES LTD.,BSE,ExchangeList
JCTLTD,JCT LTD.,BSE,ExchangeList
JINDALPOLY,JINDAL POLY FILMS LTD.,BSE,ExchangeList
JSWSTEEL,JSW STEEL LTD.,BSE,ExchangeList
UMANGDAIRY,UMANG DAIRIES LTD.,BSE,ExchangeList
KAJARIACER,KAJARIA CERAMICS LTD.,BSE,ExchangeList
KAKATCEM,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,BSE,ExchangeList
KSL,KALYANI STEELS LTD.,BSE,ExchangeList
KANELIND,Kanel Industries Limited,BSE,ExchangeList
WHIRLPOOL,WHIRLPOOL OF INDIA LTD.,BSE,ExchangeList
KGDENIM,KG DENIM LTD.,BSE,ExchangeList
KINETICENG,KINETIC ENGINEERING LTD.,BSE,ExchangeList
KIRLOSBROS,KIRLOSKAR BROTHERS LTD.-$,BSE,ExchangeList
KIRLOSIND,Kirloskar Industries Ltd,BSE,ExchangeList
KIRLFER,KIRLOSKAR FERROUS INDUSTRIES LTD.,BSE,ExchangeList
ENVAIREL,ENVAIR ELECTRODYNE LTD.,BSE,ExchangeList
KOTAKBANK,KOTAK MAHINDRA BANK LTD.,BSE,ExchangeList
KRIFILIND,Krishna Filament Industries Ltd,BSE,ExchangeList
KSB,KSB Ltd,BSE,ExchangeList
LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,BSE,ExchangeList
TRENT,TRENT LTD.,BSE,ExchangeList
LAXMIMACH,LAKSHMI MACHINE WORKS LTD.,BSE,ExchangeList
LICHSGFIN,LIC HOUSING FINANCE LTD.,BSE,ExchangeList
LUPIN,LUPIN LTD.,BSE,ExchangeList
LYKALABS,LYKA LABS LTD.,BSE,ExchangeList
RAMCOCEM,The Ramco Cements Limited,BSE,ExchangeList
HYBRIDFIN,Hybrid Financial Services Ltd,BSE,ExchangeList
MAFATIND,MAFATLAL INDUSTRIES LTD.-$,BSE,ExchangeList
MAHSEAMLES,MAHARASHTRA SEAMLESS LTD.,BSE,ExchangeList
MAHSCOOTER,MAHARASHTRA SCOOTERS LTD.,BSE,ExchangeList
